stock_id,stock_name,symbol,sector,mcap_type,industry,financial_score,qm_score,technical_score,start_price,end_price,return_pct
77882,"Enviro Infra Engineers Ltd",EIEL,"Infrastructure Developers & Operators",Small Cap,"Engineering - Turnkey Services",85.00,0.00,0.00,268.1,159.15,-40.64
77885,"Maple Infrastructure Trust",543925,"Infrastructure Investment Trusts",Small Cap,"Infra/ Real Estate Investment Trust",18.25,0.00,0.00,144,145.6,1.11
77886,"Dharni Capital Services Ltd",543753,"Finance",Small Cap,"Finance - Investment / Others",32.50,0.00,80.00,55.65,61.4,10.33
77922,"Vikram Aroma Ltd",544371,"Chemicals",Small Cap,"Chemicals - Speciality - Medium / Small",1.00,0.00,0.00,101.4,63.33,-37.54
77924,"Indef Manufacturing Ltd",BAJAJINDEF,"Capital Goods-Non Electrical Equipment",Small Cap,"Engineering - Heavy - Material Handling",1.00,0.00,0.00,384.7,249.4,-35.17
78033,"Forbes Precision Tools & Machine Parts Ltd",544186,"Capital Goods-Non Electrical Equipment",Small Cap,"Machine Tools - Others",34.50,0.00,8.00,173.15,133.85,-22.7
78051,"Anzen India Energy Yield Plus Trust",ANZEN,"Power Infrastructure",Small Cap,"Power Generation And Supply",59.25,0.00,0.00,115,117,1.74
78092,"Leela Palaces Hotels & Resorts Ltd",THELEELA,"Hotels & Restaurants",Small Cap,"Hotels - Medium",28.25,0.00,0.00,420.3,438.8,4.4
78117,"JHS Svendgaard Retail Ventures Ltd",RETAIL,"Retail",Small Cap,"Trading - Medium / Small",56.75,0.00,83.00,42.98,25.2,-41.37
78328,"Rossell Techsys Ltd",ROSSTECH,"Aerospace & Defence",Small Cap,"Engineering - Heavy - General - Medium / Small",16.75,0.00,0.00,681.5,670,-1.69
78377,"Regaal Resources Ltd",REGAAL,"Miscellaneous",Small Cap,"Starch",77.75,0.00,0.00,124.15,68.54,-44.79
78686,"Jay Kailash Namkeen Ltd",544160,"FMCG",Small Cap,"Food - Processing - Others",74.00,0.00,2.00,48.1,18.99,-60.52
78691,"Avax Apparels and Ornaments Ltd",544337,"Trading",Small Cap,"Trading - Medium / Small",64.50,0.00,0.00,116.85,297,154.17
78697,"Innovatus Entertainment Networks Ltd",543951,"Miscellaneous",Small Cap,"Miscellaneous - Medium / Small",66.00,0.00,-4.00,14.15,14.15,0
78706,"Globale Tessile Ltd",GLOBALE,"Textiles",Small Cap,"Textiles - Others",31.00,0.00,43.50,14.11,12.2,-13.54
79000,"Cube Highways Trust",CUBEINVIT,"Infrastructure Investment Trusts",Small Cap,"Infra/ Real Estate Investment Trust",37.75,0.00,0.00,130.5,140,7.28
79030,"Raymond Lifestyle Ltd",RAYMONDLSL,"Textiles",Small Cap,"Textiles - Others",58.25,0.00,37.00,1157.1,894.55,-22.69
79071,"International Gemmological Institute (India) Ltd",IGIL,"Miscellaneous",Small Cap,"Miscellaneous - Medium / Small",81.00,0.00,0.00,350.85,332.15,-5.33
79141,"Sanofi Consumer Healthcare India Ltd",SANOFICONR,"Pharmaceuticals",Small Cap,"Pharmaceuticals - Multinational",79.00,0.00,51.00,5152.35,4005.75,-22.25
80006,"Sanstar Ltd",SANSTAR,"FMCG",Small Cap,"Starch",75.00,0.00,4.00,83.71,85.99,2.72
81901,"Shree Tirupati Balajee Agro Trading Co. Ltd",BALAJEE,"Packaging",Small Cap,"Packaging - Polysacks",68.50,0.00,41.50,51.63,30.02,-41.86
82794,"Ajax Engineering Ltd",AJAXENGG,"Capital Goods-Non Electrical Equipment",Small Cap,"Engineering - Heavy - General - Large",81.75,0.00,0.00,680.1,491,-27.8
82898,"Parmeshwar Metal Ltd",544330,"Mining & Mineral products",Small Cap,"Metal - Copper / Copper Alloy Products",74.50,0.00,0.00,70,122.6,75.14
