sector,stock_name,symbol,overall_score,return_pct,score_rank,return_rank,rank_deviation,rank_deviation_pct,bucket
"Diamond, Gems and Jewellery","Kenvi Jewels Ltd",540953,56.00,-20.53,37,43,6,9.84,"Within 10%"
"Diamond, Gems and Jewellery","Goenka Diamond & Jewels Ltd",GOENKA,55.55,-8.70,38,34,4,6.56,"Within 10%"
"Diamond, Gems and Jewellery","Veerkrupa Jewellers Ltd",543545,54.66,-40.00,39,60,21,34.43,"Rest"
"Diamond, Gems and Jewellery","Aayush Art and Bullion Ltd",540718,54.23,15.76,40,12,28,45.9,"Rest"
"Diamond, Gems and Jewellery","Swarnsarita Jewels India Ltd",526365,54.05,2.74,41,22,19,31.15,"Rest"
"Diamond, Gems and Jewellery","U. H. Zaveri Ltd",541338,53.03,17.53,42,11,31,50.82,"Rest"
"Diamond, Gems and Jewellery","Ashapuri Gold Ornament Ltd",542579,52.91,-26.17,43,51,8,13.11,"Within 25%"
"Diamond, Gems and Jewellery","Darshan Orna Ltd",539884,52.16,8.80,44,18,26,42.62,"Rest"
"Diamond, Gems and Jewellery","Kanani Industries Ltd",KANANIIND,51.29,-23.86,45,50,5,8.2,"Within 10%"
"Diamond, Gems and Jewellery","Shukra Jewellery Ltd",SHUKRADIAM,51.03,-3.72,46,29,17,27.87,"Rest"
"Diamond, Gems and Jewellery","Deep Diamond India Ltd",539559,50.99,-17.14,47,39,8,13.11,"Within 25%"
"Diamond, Gems and Jewellery","Renaissance Global Ltd",RGL,49.30,11.47,48,15,33,54.1,"Rest"
"Diamond, Gems and Jewellery","Sagar Diamonds Ltd",540715,48.93,0.00,49,24.5,24.5,40.16,"Rest"
"Diamond, Gems and Jewellery","Neogem India Ltd",526195,47.80,6.54,50,19,31,50.82,"Rest"
"Diamond, Gems and Jewellery","Minal Industries Ltd",522235,47.46,-40.61,51,61,10,16.39,"Within 25%"
"Diamond, Gems and Jewellery","Nanavati Ventures Ltd",543522,46.67,1.50,52,23,29,47.54,"Rest"
"Diamond, Gems and Jewellery","Zodiac-JRD-MKJ Ltd",ZODJRDMKJ,45.57,-23.85,53,49,4,6.56,"Within 10%"
"Diamond, Gems and Jewellery","Vega Jewellers Ltd",512026,45.16,61.54,54,5,49,80.33,"Rest"
"Diamond, Gems and Jewellery","Sunraj Diamond Exports Ltd",523425,44.43,32.02,55,7,48,78.69,"Rest"
"Diamond, Gems and Jewellery","PC Jeweller Ltd",PCJEWELLER,43.96,-26.19,56,52,4,6.56,"Within 10%"
"Diamond, Gems and Jewellery","SJ Corporation Ltd",504398,38.50,15.50,57,13,44,72.13,"Rest"
"Diamond, Gems and Jewellery","R O Jewels Ltd",543171,37.91,-32.73,58,56,2,3.28,"Within 10%"
"Diamond, Gems and Jewellery","Sovereign Diamonds Ltd",523826,36.60,-26.84,59,54,5,8.2,"Within 10%"
"Diamond, Gems and Jewellery","Lypsa Gems & Jewellery Ltd",LYPSAGEMS,35.11,-21.77,60,46,14,22.95,"Within 25%"
"Diamond, Gems and Jewellery","Turner Industries Ltd",531164,30.40,4.76,61,21,40,65.57,"Rest"
"Diversified","TTK Healthcare Ltd",TTKHLTCARE,71.84,-20.15,1,18,17,51.52,"Rest"
"Diversified","Balmer Lawrie & Company Ltd",BALMLAWRIE,71.02,-19.68,2,17,15,45.45,"Rest"
"Diversified","Indrayani Biotech Ltd",526445,69.13,-37.19,3,31,28,84.85,"Rest"
"Diversified","3M India Ltd",3MINDIA,68.95,19.11,4,2,2,6.06,"Within 10%"
"Diversified","GOCL Corporation Ltd",GOCLCORP,67.91,-36.65,5,30,25,75.76,"Rest"
"Diversified","Maitri Enterprises Ltd",513430,66.60,4.91,6,5,1,3.03,"Within 10%"
"Diversified","Vikas Ecotech Ltd",VIKASECO,64.98,-32.88,7,25,18,54.55,"Rest"
"Diversified","Meghna Infracon Infrastructure Ltd",538668,62.85,7.44,8,4,4,12.12,"Within 25%"
"Diversified","Sobhagya Mercantile Ltd",512014,61.35,-14.97,9,11,2,6.06,"Within 10%"
"Diversified","Symbiox Investment & Trading Co Ltd",539278,60.24,-40.98,10,32,22,66.67,"Rest"
"Diversified","Lehar Footwears Ltd",532829,60.18,-19.62,11,16,5,15.15,"Within 25%"
"Diversified","Bombay Cycle & Motor Agency Ltd",501430,59.56,-11.50,12,7,5,15.15,"Within 25%"
"Diversified","Empire Industries Ltd",509525,59.38,-17.89,13,15,2,6.06,"Within 10%"
"Diversified","Nava Ltd",NAVA,58.40,-13.15,14,10,4,12.12,"Within 25%"
"Diversified","Yaan Enterprises Ltd",538521,56.59,12.67,15,3,12,36.36,"Rest"
"Diversified","ICDS Ltd",ICDSLTD,55.72,-9.37,16,6,10,30.3,"Rest"
"Diversified","DCM Shriram Ltd",DCMSHRIRAM,55.66,-16.22,17,13,4,12.12,"Within 25%"
"Diversified","Jamshri Realty Ltd",502901,55.33,-20.28,18,19,1,3.03,"Within 10%"
"Diversified","Majestic Auto Ltd",MAJESAUTO,54.41,-12.74,19,8,11,33.33,"Rest"
"Diversified","Trishakti Industries Ltd",531279,51.74,-12.75,20,9,11,33.33,"Rest"
"Diversified","BNR Udyog Ltd",530809,50.04,-33.00,21,26,5,15.15,"Within 25%"
"Diversified","Quess Corp Ltd",QUESS,49.89,-27.75,22,22,0,0,"Exact Match"
"Diversified","Krypton Industries Ltd",523550,49.77,-16.21,23,12,11,33.33,"Rest"
"Diversified","Mafatlal Industries Ltd",MAFATLAIND,49.16,-16.88,24,14,10,30.3,"Rest"
"Diversified","Sugal & Damani Share Brokers Ltd",511654,48.51,-30.20,25,24,1,3.03,"Within 10%"
"Diversified","Thacker & Company Ltd",509945,46.79,-35.19,26,28,2,6.06,"Within 10%"
"Diversified","Ashima Ltd",ASHIMASYN,45.72,-41.31,27,33,6,18.18,"Within 25%"
"Diversified","Sri KPR Industries Ltd",514442,40.56,-30.14,28,23,5,15.15,"Within 25%"
"Diversified","Oswal Green Tech Ltd",OSWALGREEN,39.71,-36.40,29,29,0,0,"Exact Match"
"Diversified","Andrew Yule & Company Ltd",ANDREWYU,37.34,-26.09,30,21,9,27.27,"Rest"
"Diversified","Arunis Abode Ltd",526935,37.31,284.48,31,1,30,90.91,"Rest"
"Diversified","SVC Industries Ltd",ATVPETRO,35.64,-33.61,32,27,5,15.15,"Within 25%"
"Diversified","Kush Industries Ltd",SUZLONFIBR,32.85,-21.33,33,20,13,39.39,"Rest"
"E-Commerce/App based Aggregator","Just Dial Ltd",JUSTDIAL,79.37,-31.08,1,22,21,84,"Rest"
