stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
64824,"Monte Carlo Fashions Ltd",MONTECARLO,"Textiles",Small Cap,63.84,HOLD,66.00,67.50,0.00,31.00,584.65,569.25,-2.63,1.03
5517,"Rexnord Electronics & Controls Ltd",531888,"Capital Goods - Electrical Equipment",Small Cap,63.81,HOLD,76.00,62.50,0.00,20.00,98.42,62.63,-36.36,-32.7
42751,"Keystone Realtors Ltd",RUSTOMJEE,"Realty",Small Cap,63.81,HOLD,47.75,72.00,0.00,80.00,651.15,423,-35.04,-31.38
743,"Kanoria Chemicals & Industries Ltd",KANORICHEM,"Chemicals",Small Cap,63.79,HOLD,45.00,85.00,0.00,8.00,85.33,71.35,-16.38,-12.72
23653,"Hi-Tech Pipes Ltd",HITECH,"Steel",Small Cap,63.79,HOLD,75.75,64.50,0.00,8.00,86.75,88.07,1.52,5.18
26063,"Incredible Industries Ltd",INCREDIBLE,"Steel",Small Cap,63.79,HOLD,55.75,75.50,0.00,23.00,39.6,36.5,-7.83,-4.17
3926,"Magna Electro Castings Ltd",517449,"Castings, Forgings & Fastners",Small Cap,63.78,HOLD,86.50,50.00,0.00,55.00,1161.75,963.75,-17.04,-13.38
3341,"Raghuvir Synthetics Ltd",514316,"Textiles",Small Cap,63.77,HOLD,90.50,53.00,0.00,18.50,126.85,117.35,-7.49,-3.83
5020,"Goodluck India Ltd",GOODLUCK,"Steel",Small Cap,63.77,HOLD,79.25,50.00,0.00,86.00,1125.2,1201.15,6.75,10.41
21208,"PVV Infra Ltd",536659,"Realty",Small Cap,63.74,HOLD,77.75,50.00,0.00,92.00,3.27,4.88,49.24,52.9
161,"Escorts Kubota Ltd",ESCORTS,"Automobile",Mid Cap,63.71,HOLD,43.75,73.00,0.00,89.50,3568.95,3596.9,0.78,4.44
24610,"Jindal Stainless Ltd",JSL,"Steel",Mid Cap,63.70,HOLD,79.75,50.00,0.00,83.00,777.45,801.4,3.08,6.74
657,"Godfrey Phillips India Ltd",GODFRYPHLP,"Tobacco Products",Small Cap,63.69,HOLD,75.75,50.00,0.00,100.00,3522.7,2092.05,-40.61,-36.95
2760,"Voith Paper Fabrics India Ltd",PORRITSPEN,"Textiles",Small Cap,63.68,HOLD,61.75,66.00,0.00,57.00,1943.4,1592,-18.08,-14.42
4545,"Goldiam International Ltd",GOLDIAM,"Diamond, Gems and Jewellery",Small Cap,63.68,HOLD,85.75,50.00,0.00,57.00,358.75,347.7,-3.08,0.58
7514,"Sumuka Agro Industries Ltd",532070,"Retail",Small Cap,63.68,HOLD,73.00,57.50,0.00,63.50,235.2,202.8,-13.78,-10.12
73927,"Organic Recycling Systems Ltd",543997,"Miscellaneous",Small Cap,63.68,HOLD,50.75,78.00,0.00,27.00,270,241.5,-10.56,-6.9
415,"NOCIL Ltd",NOCIL,"Chemicals",Small Cap,63.65,HOLD,39.25,85.00,0.00,31.00,183.8,148.55,-19.18,-15.52
2401,"HBL Engineering Ltd",HBLENGINE,"Auto Ancillaries",Small Cap,63.64,HOLD,80.75,50.00,0.00,78.00,800.35,704.6,-11.96,-8.3
3800,"Neuland Laboratories Ltd",NEULANDLAB,"Pharmaceuticals",Small Cap,63.63,HOLD,80.25,50.00,0.00,80.00,13867.55,13329,-3.88,-0.22
43396,"GCM Securities Ltd",535431,"Stock/ Commodity Brokers",Small Cap,63.63,HOLD,17.75,100.00,0.00,26.50,0.83,0.67,-19.28,-15.62
4509,"NHC Foods Ltd",517554,"FMCG",Small Cap,63.62,HOLD,65.75,67.50,0.00,29.50,1.19,0.79,-33.61,-29.95
76630,"Mukka Proteins Ltd",MUKKA,"FMCG",Small Cap,63.61,HOLD,45.25,84.50,0.00,8.00,26.77,22.52,-15.88,-12.22
4401,"Hikal Ltd",HIKAL,"Pharmaceuticals",Small Cap,63.57,HOLD,47.25,82.00,0.00,15.00,255.05,200.9,-21.23,-17.57
65221,"Metropolis Healthcare Ltd",METROPOLIS,"Healthcare",Small Cap,63.55,HOLD,47.75,72.00,0.00,77.00,2167.5,1886.2,-12.98,-9.32
131,"Dalmia Bharat Sugar & Industries Ltd",DALMIASUG,"Sugar",Small Cap,63.54,HOLD,43.25,80.50,0.00,41.50,380.55,281.9,-25.92,-22.26
14229,"Pondy Oxides & Chemicals Ltd",POCL,"Non Ferrous Metals",Small Cap,63.54,HOLD,80.00,50.00,0.00,80.00,1094.6,1151.1,5.16,8.82
26642,"Rane (Madras) Ltd",RML,"Auto Ancillaries",Small Cap,63.53,HOLD,55.25,67.50,0.00,73.50,890.15,810,-9,-5.34
1514,"Ucal Ltd",UCAL,"Auto Ancillaries",Small Cap,63.52,HOLD,44.25,85.00,0.00,8.00,137,108.35,-20.91,-17.25
516,"Siyaram Silk Mills Ltd",SIYSIL,"Textiles",Small Cap,63.51,HOLD,62.50,72.50,0.00,10.00,613.75,536.8,-12.54,-8.88
3908,"Dutron Polymers Ltd",517437,"Plastic products",Small Cap,63.50,HOLD,41.75,85.00,0.00,18.50,124,111,-10.48,-6.82
